,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
1791,11.0,1.19,1.23,41.3,0.25,201.1,343.1,1.02113,3.05,1.19,12.0,0
1792,7.8,0.6,1.42,51.5,0.211,234.8,190.9,1.02551,3.13,0.98,12.0,0
1793,10.3,1.02,0.88,43.2,0.226,148.3,348.2,1.0182,2.9,0.93,13.1,0
1794,9.0,1.02,1.12,38.4,0.167,79.4,238.0,1.0232,3.18,1.52,11.6,0
1795,10.3,0.73,1.27,33.5,0.231,201.0,154.7,1.00663,3.14,1.34,11.5,0
1796,7.4,0.93,0.81,44.1,0.43,231.7,315.8,1.01568,3.05,1.06,13.7,0
1797,7.2,1.03,0.98,41.5,0.193,114.0,327.8,1.02579,3.06,1.31,12.0,0
1798,13.7,1.22,0.57,45.8,0.195,255.6,221.6,1.00611,2.94,1.17,11.8,0
1799,9.3,1.11,0.79,46.8,0.264,229.8,384.8,1.01906,3.21,1.55,12.2,0
1800,8.3,0.35,0.9,55.5,0.445,114.3,207.6,1.02094,3.25,0.68,11.8,0
1801,11.0,1.04,0.83,32.4,0.177,145.9,331.6,1.014,2.79,1.73,12.5,0
1802,11.8,1.16,1.01,48.5,0.223,118.7,223.3,1.02497,3.01,0.95,10.3,0
1803,12.5,1.16,1.18,58.3,0.372,259.1,338.5,1.01978,3.04,1.2,12.2,0
1804,10.2,1.06,1.11,50.3,0.383,166.9,353.3,1.01764,2.96,1.35,12.1,0
1805,12.3,0.66,1.35,37.8,0.185,181.8,323.9,1.02361,3.1,1.07,10.4,0
1806,12.8,0.62,0.85,37.0,0.263,112.2,289.8,1.01589,3.28,1.35,12.0,0
1807,8.0,1.12,0.98,39.8,0.166,251.5,239.9,1.01539,3.24,1.6,11.4,0
1808,13.9,1.21,1.35,45.4,0.174,167.0,392.0,1.02038,3.04,1.26,11.0,0
1809,8.0,1.24,1.21,34.0,0.192,123.9,215.8,1.02499,2.88,1.33,12.6,0
1810,13.6,1.27,0.85,32.0,0.243,97.3,228.0,1.02024,3.02,1.18,10.3,0
1811,10.7,0.74,0.93,28.0,0.181,219.8,229.7,1.01523,3.11,1.26,10.8,0
1812,11.7,0.98,1.18,45.4,0.317,194.1,393.0,1.01499,3.14,1.23,11.5,0
1813,13.0,0.7,0.78,33.8,0.148,197.4,192.2,1.01663,3.04,1.45,11.2,0
1814,13.3,1.39,0.8,41.9,0.2,145.0,348.6,1.00556,3.01,1.67,12.2,0
1815,10.3,0.69,0.76,49.4,0.284,180.0,341.6,1.01776,3.08,1.02,10.5,0
1816,10.7,0.66,0.58,36.6,0.224,233.4,200.3,1.02803,3.24,1.61,11.2,0
1817,10.4,1.11,1.17,31.5,0.16,152.6,320.0,1.02397,3.46,0.96,12.1,0
1818,11.7,1.43,0.58,52.2,0.262,162.4,346.6,1.01197,2.82,1.68,13.1,0
1819,13.1,1.17,0.68,31.5,0.228,210.6,214.8,1.00971,3.05,1.47,10.9,0
1820,11.5,0.87,0.79,40.4,0.45,65.6,296.0,1.01515,3.21,1.3,10.6,0
1821,11.8,0.6,0.45,32.4,0.25,219.1,197.2,1.007,3.04,1.54,11.3,0
1822,11.5,1.06,0.73,48.4,0.049,247.5,306.6,1.0272,2.94,1.46,12.9,0
1823,9.7,1.05,0.63,43.0,0.436,194.4,311.1,1.01151,3.2,1.35,11.8,0
1824,10.8,1.01,1.05,47.3,0.319,166.5,323.5,1.01148,3.04,0.98,13.0,0
1825,9.3,0.82,1.05,50.9,0.302,142.8,306.3,1.01997,3.01,0.96,11.2,0
1826,10.7,1.17,1.19,55.5,0.353,134.8,302.6,1.02312,3.15,1.36,10.9,0
1827,10.2,0.64,0.97,33.4,0.181,125.2,289.4,1.0234,3.1,1.54,12.7,0
1828,10.7,0.97,0.91,51.3,0.226,196.6,249.2,1.01114,2.84,0.63,11.5,0
1829,12.9,0.43,1.23,44.1,0.398,126.8,348.7,1.02312,3.25,1.34,11.4,0
1830,11.4,0.72,1.21,30.6,0.202,105.4,305.1,1.0251,2.91,1.28,12.9,0
1831,13.6,1.01,0.87,39.7,0.382,231.3,275.1,1.02604,3.24,1.07,11.6,0
1832,12.4,1.16,0.47,48.2,0.145,158.4,375.8,1.01701,2.91,1.71,12.7,0
1833,12.5,0.92,0.87,42.0,0.225,146.3,228.4,1.02204,3.26,1.11,9.9,0
1834,8.7,0.65,1.1,35.7,0.289,167.2,164.5,1.00829,3.36,1.42,11.1,0
1835,14.5,1.02,1.15,40.3,0.258,234.1,215.4,1.01512,2.86,0.99,10.3,0
1836,10.4,0.95,0.78,32.7,0.315,229.8,205.6,1.01565,3.06,1.59,10.9,0
1837,10.9,0.98,1.04,33.1,0.235,124.5,297.6,1.01556,3.19,1.45,11.4,0
1838,11.1,0.69,1.05,24.4,0.324,105.8,135.0,1.01523,3.57,1.61,11.3,0
1839,11.3,0.94,0.49,46.2,0.191,226.3,290.5,1.01611,3.03,1.03,10.9,0
1840,10.6,1.37,0.82,46.4,0.209,170.6,262.3,1.00748,3.2,1.53,10.9,0
1841,8.5,0.94,1.11,46.6,0.426,163.1,267.8,1.02951,3.19,1.35,11.4,0
1842,11.3,1.27,0.74,47.9,0.132,218.9,287.2,1.01236,2.92,1.21,11.2,0
1843,8.9,0.81,1.17,41.9,0.341,196.7,337.7,1.01714,3.19,1.36,11.8,0
1844,12.6,0.92,0.52,55.2,0.28,195.1,262.6,1.00606,3.06,1.02,9.1,0
1845,11.5,0.9,1.17,43.4,0.132,270.1,306.4,1.02269,3.1,1.4,10.1,0
1846,13.5,1.23,0.75,45.4,0.291,123.8,243.5,1.03296,2.95,1.16,11.6,0
1847,14.5,0.67,1.24,33.9,0.213,104.4,273.9,1.02321,3.1,0.94,12.0,0
1848,13.8,1.06,0.94,53.7,0.377,228.4,390.7,1.02356,3.17,1.29,11.5,0
1849,8.9,0.86,1.01,50.7,0.261,133.2,196.1,1.01641,3.32,1.05,12.0,0
1850,11.3,1.05,0.72,49.1,0.475,97.9,393.6,1.02244,2.88,1.57,13.8,0
1851,14.4,1.24,0.97,49.4,0.356,188.9,285.6,1.0232,3.21,1.01,10.9,0
1852,9.0,0.8,0.8,43.3,0.195,71.9,158.2,1.02158,3.0,1.47,11.0,0
1853,13.5,0.83,1.25,33.4,0.146,225.5,243.2,1.02658,3.17,1.12,11.2,0
1854,12.3,0.93,1.05,45.3,0.309,228.3,356.1,1.0038,3.4,1.14,11.7,0
1855,12.6,0.66,1.43,40.5,0.251,91.0,267.9,1.01935,3.2,0.72,11.4,0
1856,12.6,1.2,1.06,37.5,0.221,190.6,388.1,1.02047,3.03,1.27,12.6,0
1857,12.2,0.57,1.25,51.9,0.249,160.4,366.2,1.02074,2.91,0.9,12.5,0
1858,9.3,0.89,1.35,41.9,0.283,132.7,222.4,1.01197,3.36,1.56,12.1,0
1859,9.6,1.25,0.91,34.8,0.344,143.0,363.1,1.01969,2.87,1.53,13.3,0
1860,13.3,0.92,0.99,25.1,0.207,152.8,157.2,1.00528,3.28,1.68,11.0,0
1861,13.4,1.17,1.41,46.9,0.287,273.4,275.3,1.01168,3.23,1.03,10.7,0
1862,11.2,1.0,0.71,47.6,0.24,199.9,361.6,1.0151,3.17,1.35,11.8,0
1863,11.2,1.02,1.1,38.5,0.162,227.3,263.5,1.00891,3.1,1.47,10.3,0
1864,10.5,1.03,1.09,49.8,0.332,158.0,239.4,1.01967,2.88,1.19,12.8,0
1865,10.8,0.92,1.24,37.2,0.181,247.7,310.7,1.01786,3.23,1.71,11.9,0
1866,9.7,0.99,1.16,46.4,0.148,115.2,191.7,1.02253,3.32,0.75,10.2,0
1867,13.4,1.19,0.84,42.5,0.219,202.3,323.4,1.01087,2.88,1.45,10.8,0
1868,10.0,0.81,1.16,47.0,0.119,220.4,379.4,1.00404,3.28,1.21,11.7,0
1869,9.5,0.63,1.25,57.1,0.309,180.3,286.8,1.0316,3.26,0.6,12.9,0
1870,11.7,0.72,1.32,52.5,0.246,154.9,284.8,1.02646,3.16,1.42,10.5,0
1871,5.4,1.26,0.97,49.1,0.285,148.3,331.5,1.02524,2.98,1.58,13.3,0
1872,7.9,1.06,0.65,33.1,0.269,164.4,248.9,1.01934,3.04,1.07,11.3,0
1873,9.8,0.85,0.82,37.5,0.161,89.4,316.9,1.02555,3.37,1.03,11.3,0
1874,11.9,1.32,1.18,53.7,0.252,232.3,266.9,1.03164,2.88,1.79,11.1,0
1875,12.0,0.95,0.98,45.7,0.263,227.1,295.4,1.01529,3.07,1.33,10.1,0
1876,12.3,1.15,1.15,48.6,0.202,246.5,317.9,1.01581,3.03,1.19,11.9,0
1877,9.7,1.2,0.79,40.5,0.374,125.2,246.8,1.02412,3.01,0.99,11.5,0
1878,11.5,0.64,1.15,50.2,0.521,122.7,211.3,1.02395,3.08,1.23,10.3,0
1879,11.4,1.0,1.12,45.2,0.1,154.8,247.4,1.02023,2.94,0.99,11.5,0
1880,7.8,1.06,1.17,50.1,0.243,209.5,345.9,1.01504,3.06,1.09,12.5,0
1881,9.8,1.1,1.21,39.6,0.344,215.5,253.6,1.01992,3.33,1.08,11.2,0
1882,12.7,1.36,1.21,52.7,0.309,209.1,415.9,1.01827,2.9,1.09,13.6,0
1883,7.5,0.65,1.23,36.8,0.189,139.2,342.0,1.01782,3.24,1.4,13.5,0
1884,10.2,0.71,1.0,49.1,0.212,137.9,141.3,1.00902,3.53,1.14,11.2,0
1885,8.9,0.91,1.13,26.9,0.147,175.9,288.2,1.01059,3.07,1.34,12.2,0
1886,14.4,0.44,1.2,48.2,0.259,175.1,317.0,1.00734,3.19,1.38,10.1,0
1887,12.4,1.11,1.21,53.0,0.366,196.0,161.7,1.02393,3.17,1.41,10.2,0
1888,10.9,0.95,1.02,40.9,0.294,151.1,310.6,1.01357,3.12,1.14,12.5,0
1889,11.0,1.09,1.06,35.1,0.179,212.9,327.2,1.02269,2.95,1.45,11.4,0
1890,11.7,0.72,1.32,52.5,0.246,154.9,284.8,1.02646,3.16,1.42,10.5,0
1891,10.3,1.04,1.42,58.1,0.288,180.6,361.3,1.02273,3.27,0.71,13.2,0
1892,6.9,0.77,1.16,41.3,0.163,155.9,278.8,1.02106,3.04,1.38,12.2,0
1893,9.5,0.63,1.25,57.1,0.309,180.3,286.8,1.0316,3.26,0.6,12.9,0
1894,9.5,1.19,1.3,28.3,0.27,161.6,233.3,1.02054,3.42,1.53,11.7,0
1895,11.8,0.93,0.59,52.9,0.093,240.0,186.8,1.00725,3.01,1.48,11.7,0
1896,11.3,1.08,1.21,41.4,0.376,123.7,169.5,1.02001,3.09,1.39,11.2,0
1897,11.8,1.04,1.23,63.7,0.198,178.2,304.1,1.02036,3.05,1.17,10.9,0
1898,10.2,0.97,1.37,53.4,0.365,157.2,267.5,1.02565,2.92,1.3,10.2,0
1899,14.0,1.34,0.71,38.6,0.272,81.0,340.4,1.02519,3.14,1.24,10.9,0
1900,8.9,1.07,0.78,33.3,0.172,81.9,264.6,1.01354,3.19,1.2,13.0,0
1901,11.9,1.08,1.43,41.3,0.326,143.7,379.4,1.00639,3.12,1.69,13.1,0
1902,9.3,0.82,1.05,50.9,0.302,142.8,306.3,1.01997,3.01,0.96,11.2,0
1903,6.8,0.69,0.89,44.8,0.14,126.2,243.0,1.01653,3.04,1.1,12.8,0
1904,9.5,0.77,0.53,49.4,0.295,177.5,384.5,1.01463,3.28,1.35,12.7,0
1905,10.8,0.53,0.93,20.2,0.194,180.3,273.4,1.0147,3.32,1.36,12.3,0
1906,13.5,1.12,1.0,51.9,0.352,124.1,355.3,1.0216,2.99,1.13,10.5,0
1907,12.0,1.04,0.76,46.0,0.186,213.8,359.8,1.01971,2.88,1.26,11.3,0
1908,11.4,0.86,0.77,32.7,0.215,190.6,292.5,1.02371,3.04,1.27,13.1,0
1909,10.0,1.2,0.72,46.4,0.264,193.6,375.3,1.00934,2.93,1.52,12.7,0
1910,11.8,1.35,0.83,45.3,0.132,238.0,383.0,1.00904,2.94,1.54,13.1,0
1911,13.0,0.88,0.54,38.7,0.369,127.0,290.4,1.02138,3.19,1.63,11.2,0
1912,10.7,0.84,0.51,47.3,0.416,164.7,318.4,1.00543,3.15,1.22,12.0,0
1913,11.3,1.17,0.89,51.5,0.37,254.9,258.2,1.02302,3.12,0.94,10.9,0
1914,11.9,1.06,0.95,39.9,0.204,182.4,275.0,1.00713,3.35,1.26,12.2,0
1915,9.4,1.16,1.17,57.2,0.327,177.8,280.3,1.02377,3.19,0.97,11.9,0
1916,10.4,1.13,1.07,49.2,0.152,91.6,313.4,1.02626,2.98,1.6,12.1,0
1917,8.4,0.79,0.6,39.5,0.16,121.2,212.6,1.02692,3.0,1.32,13.1,0
1918,9.6,1.22,1.26,48.9,0.261,168.7,333.6,1.02591,2.87,0.94,12.3,0
1919,12.3,1.0,1.01,36.9,0.226,194.4,321.4,1.01131,3.39,1.65,10.1,0
1920,10.3,0.82,1.23,43.2,0.278,110.8,307.9,1.00967,3.34,0.95,11.4,0
1921,9.2,1.26,0.97,51.3,0.366,156.5,375.7,1.00755,2.93,1.28,11.6,0
1922,14.1,0.83,1.04,50.0,0.138,120.1,333.5,1.01335,3.09,1.72,12.7,0
1923,10.0,1.3,0.78,42.4,0.237,247.5,205.4,1.01515,3.07,1.32,11.1,0
1924,12.9,1.06,1.01,42.9,0.376,213.8,308.4,1.01374,3.38,1.12,10.7,0
1925,10.4,0.88,1.32,51.4,0.248,151.2,231.6,1.02167,3.08,1.05,10.1,0
1926,9.6,0.74,0.87,52.7,0.392,176.5,183.8,1.02155,2.92,1.16,9.3,0
1927,12.7,0.75,1.24,37.2,0.338,176.7,183.0,1.02126,2.98,1.56,11.5,0
1928,8.5,0.71,1.26,49.5,0.2,104.0,247.3,1.01241,3.15,1.13,11.3,0
1929,12.6,1.29,0.74,42.6,0.139,216.3,371.3,1.00337,2.92,1.38,12.8,0
1930,11.0,0.99,1.16,36.7,0.119,206.7,144.5,1.01158,2.96,1.4,11.8,0
1931,12.9,1.06,1.01,42.9,0.376,213.8,308.4,1.01374,3.38,1.12,10.7,0
1932,8.1,1.14,0.93,43.6,0.179,216.0,181.6,1.0163,3.03,0.99,12.9,0
1933,9.1,1.09,1.2,41.9,0.222,180.6,315.3,1.01373,3.16,1.08,13.8,0
1934,7.2,0.94,1.21,34.1,0.154,168.5,269.3,1.01669,3.02,1.31,10.2,0
1935,10.5,1.09,1.2,44.5,0.422,207.9,387.1,1.01834,3.27,1.44,11.5,0
1936,13.0,0.85,0.93,47.5,0.177,154.6,228.4,1.01036,3.29,1.2,10.8,0
1937,10.6,1.12,1.04,37.4,0.152,190.5,300.5,1.0214,2.97,1.42,12.6,0
1938,14.6,0.84,1.48,48.1,0.318,66.8,233.6,1.01249,3.0,1.73,10.4,0
1939,12.4,0.97,1.02,40.6,0.184,155.9,246.5,1.0178,3.01,1.58,11.7,0
1940,10.2,1.24,1.22,54.5,0.368,128.4,367.3,1.00895,2.9,1.22,12.5,0
1941,10.8,0.86,0.94,45.5,0.194,116.5,374.6,1.01585,2.96,1.12,11.8,0
1942,13.7,0.4,0.92,27.4,0.197,97.5,209.7,1.01136,3.33,1.15,11.6,0
1943,11.8,1.22,1.11,40.7,0.244,171.3,143.6,1.0313,2.87,1.17,11.3,0
1944,9.2,0.77,0.96,27.9,0.257,157.5,233.5,1.01839,3.36,1.34,11.7,0
1945,13.4,1.19,0.84,42.5,0.219,202.3,323.4,1.01087,2.88,1.45,10.8,0
1946,10.5,1.15,0.71,60.3,0.248,111.0,287.1,1.02151,3.3,0.85,12.0,0
1947,6.8,0.69,0.89,44.8,0.14,126.2,243.0,1.01653,3.04,1.1,12.8,0
1948,13.2,0.99,1.3,40.4,0.169,203.9,146.2,1.00942,3.14,1.44,11.3,0
1949,9.3,1.05,1.01,52.8,0.32,138.5,355.3,1.02412,3.27,1.24,12.2,0
1950,6.3,0.68,0.95,36.8,0.067,104.1,329.2,1.00943,3.08,1.1,11.8,0
1951,9.2,1.36,1.36,46.4,0.427,203.7,411.0,1.0036,3.09,1.36,12.3,0
1952,11.3,0.35,0.64,38.9,0.316,165.0,277.2,1.01452,3.37,0.99,12.1,0
1953,10.5,0.77,1.33,49.5,0.41,196.7,389.1,1.02304,3.16,1.17,12.1,0
1954,11.2,0.7,1.12,50.0,0.29,87.3,167.1,1.02226,3.0,0.61,9.6,0
1955,13.4,1.07,1.07,46.7,0.393,248.7,363.7,1.02469,3.06,1.4,10.4,0
1956,8.0,1.02,1.1,39.5,0.165,146.1,201.7,1.02235,3.05,0.85,11.9,0
1957,11.1,1.01,0.79,43.9,0.159,235.6,348.4,1.00204,3.08,1.71,12.3,0
1958,11.2,0.98,0.96,32.7,0.244,112.6,301.6,1.02326,2.99,1.3,13.2,0
1959,11.6,0.75,1.04,41.3,0.25,192.2,334.0,1.01809,3.21,1.33,11.2,0
1960,13.7,1.14,0.98,36.3,0.105,239.4,148.9,1.01535,2.82,1.48,12.3,0
1961,10.2,0.83,0.96,42.2,0.355,227.2,273.5,1.02646,2.89,1.62,11.5,0
1962,11.1,1.05,0.91,46.7,0.224,109.8,310.5,0.99609,3.17,1.57,11.2,0
1963,11.7,1.17,0.68,36.5,0.201,90.4,316.6,1.01594,2.98,1.23,11.7,0
1964,13.7,0.78,1.51,48.5,0.217,199.6,359.9,1.02297,3.22,1.22,10.7,0
1965,8.5,1.1,0.81,38.3,0.216,225.2,361.2,1.00921,2.98,1.01,11.5,0
1966,9.5,1.17,0.71,33.7,0.124,222.9,247.8,1.02583,3.07,1.61,11.8,0
1967,8.9,0.42,1.02,28.8,0.114,117.0,84.3,1.01359,3.08,1.5,11.9,0
1968,12.4,1.1,1.26,53.9,0.221,134.7,251.1,1.01659,3.41,0.67,9.8,0
1969,11.2,1.07,1.11,57.9,0.266,222.1,323.6,1.02276,2.99,1.15,13.1,0
1970,9.4,0.78,1.31,51.8,0.199,123.6,286.3,1.01418,3.16,1.5,12.7,0
1971,15.4,0.76,1.52,59.6,0.174,232.8,351.4,1.00763,3.4,1.53,9.3,0
1972,9.5,1.28,1.37,61.3,0.454,238.1,400.0,1.03172,2.96,1.68,11.0,0
1973,12.5,0.52,1.05,41.2,0.335,161.9,294.9,1.02932,3.18,1.62,11.7,0
1974,8.4,1.29,0.88,43.2,0.14,175.7,259.2,1.02247,3.36,1.02,12.3,0
1975,11.4,0.93,0.76,37.2,0.277,142.5,238.4,1.00863,3.16,1.15,11.6,0
1976,9.9,0.74,1.33,49.0,0.456,86.1,341.2,1.02993,2.98,1.31,10.4,0
1977,13.1,0.61,0.76,48.8,0.252,137.6,350.8,1.02194,3.17,1.55,12.1,0
1978,12.1,0.84,1.4,51.8,0.356,82.8,197.7,1.02075,3.03,1.3,11.4,0
1979,11.3,0.55,1.16,46.6,0.357,146.2,305.1,1.02316,2.97,1.1,13.9,0
1980,12.0,1.03,1.09,42.5,0.13,220.5,409.5,1.02827,3.01,1.32,11.8,0
1981,11.9,1.0,0.9,56.7,0.291,181.4,369.9,1.01264,3.59,1.45,12.4,0
1982,7.9,0.68,1.08,40.9,0.193,174.3,243.0,1.00921,3.52,1.38,12.0,0
1983,8.6,1.28,1.19,50.9,0.196,153.4,379.4,1.01731,3.05,1.18,12.3,0
1984,11.7,1.29,0.59,52.2,0.302,160.6,323.4,0.9999,2.96,1.39,9.8,0
1985,7.3,0.69,1.06,34.3,0.147,174.9,292.5,1.01355,2.98,1.76,11.5,0
1986,12.1,0.88,0.93,41.6,0.314,198.7,312.2,1.00686,3.27,1.2,12.9,0
1987,8.2,1.15,0.91,56.8,0.335,191.1,249.3,1.02218,2.99,1.13,11.9,0
1988,11.3,0.88,1.24,31.6,0.112,205.0,233.6,1.02836,3.26,0.93,11.5,0
1989,14.0,0.92,0.75,29.6,0.219,253.5,127.0,1.01959,3.09,0.96,11.7,0
1990,10.9,0.77,0.76,55.8,0.291,205.1,252.7,1.00848,2.82,1.14,11.0,0
1991,9.7,1.08,0.43,38.5,0.193,215.0,154.7,1.01202,3.17,0.97,12.0,0
1992,9.2,1.27,0.71,47.4,0.208,138.4,278.4,1.01071,3.19,1.41,12.4,0
1993,10.7,1.12,1.31,26.2,0.196,193.4,218.1,1.00151,3.06,1.3,13.6,0
1994,13.0,1.13,0.4,31.0,0.375,235.7,377.9,1.02486,3.01,1.62,11.9,0
1995,10.7,0.91,1.0,51.0,0.203,211.4,373.8,1.01524,3.27,1.4,9.7,0
1996,13.8,0.63,1.26,54.4,0.2,228.7,300.6,1.02521,2.95,1.21,10.9,0
1997,13.4,0.84,0.98,48.1,0.465,219.0,271.3,1.01101,3.24,1.55,12.9,0
1998,10.4,1.26,1.03,42.7,0.144,229.2,254.8,1.01114,3.05,1.15,10.8,0
1999,13.4,1.26,0.98,50.6,0.284,186.2,371.4,1.02192,3.01,0.89,11.4,0
2000,13.7,0.78,1.51,48.5,0.217,199.6,359.9,1.02297,3.22,1.22,10.7,0
2001,10.7,1.34,0.99,38.9,0.204,163.7,319.7,1.01489,3.11,1.36,11.4,0
2002,8.3,1.23,0.69,50.2,0.339,210.3,303.1,1.00974,3.29,1.02,11.2,0
2003,13.5,1.18,1.07,57.1,0.35,121.0,238.6,1.01943,3.01,0.94,9.7,0
2004,11.0,1.16,0.94,55.0,0.451,164.0,288.1,1.01212,3.28,1.17,11.8,0
2005,11.7,0.94,0.97,28.0,0.265,192.4,303.7,1.00949,3.21,1.12,12.9,0
2006,10.8,0.93,0.88,40.6,0.214,124.5,265.9,1.01588,3.3,1.47,12.2,0
2007,9.3,0.99,1.1,53.7,0.47,208.0,372.7,1.02658,3.09,1.37,11.1,0
2008,9.8,1.08,0.59,34.1,0.403,214.8,265.1,1.02237,3.09,1.47,10.6,0
2009,14.3,0.9,0.96,43.9,0.415,239.3,216.7,1.0191,2.96,1.58,10.5,0
2010,10.1,1.16,1.25,49.4,0.277,255.8,338.0,1.00551,3.31,0.81,11.9,0
2011,14.2,0.41,0.7,53.9,0.222,176.4,344.1,1.01976,3.06,1.6,10.4,0
2012,10.5,0.58,1.42,46.3,0.305,124.8,286.3,1.0225,3.03,1.01,9.8,0
2013,11.7,0.85,1.22,48.7,0.279,172.7,269.9,1.01861,3.23,1.36,12.6,0
2014,10.1,0.89,0.74,50.2,0.257,220.2,334.5,1.00468,3.33,1.45,12.9,0
2015,9.5,1.04,0.8,37.0,0.336,220.2,343.3,1.03135,2.94,1.56,12.2,0
2016,10.8,0.9,0.84,47.1,0.19,164.0,170.3,1.01636,3.06,0.86,12.5,0
2017,10.2,0.77,1.09,38.3,0.124,140.7,276.6,1.02003,3.0,1.16,10.7,0
2018,10.3,1.04,1.42,58.1,0.288,180.6,361.3,1.02273,3.27,0.71,13.2,0
2019,10.5,0.87,1.49,55.6,0.311,143.7,220.0,1.01316,3.43,1.05,9.9,0
2020,7.1,1.23,0.75,53.4,0.138,165.6,282.1,0.99822,3.47,1.61,11.1,0
2021,13.8,0.56,1.12,27.9,0.219,130.8,199.3,1.00946,3.34,1.46,10.2,0
2022,12.3,1.0,1.01,36.9,0.226,194.4,321.4,1.01131,3.39,1.65,10.1,0
2023,11.9,1.04,1.01,44.3,0.279,206.9,273.1,1.00705,2.9,1.51,10.6,0
2024,10.3,1.33,0.76,61.3,0.253,258.5,245.8,1.01414,2.94,1.22,9.6,0
2025,12.4,1.24,0.7,43.3,0.323,167.0,293.9,1.01344,3.41,1.23,11.0,0
2026,11.5,1.37,1.21,41.4,0.353,181.0,305.4,1.02193,3.08,0.82,12.0,0
2027,12.5,1.41,1.42,46.7,0.246,242.3,211.5,1.03069,2.83,1.12,9.9,0
2028,10.2,1.24,1.22,54.5,0.368,128.4,367.3,1.00895,2.9,1.22,12.5,0
2029,10.5,1.06,1.01,48.5,0.26,206.5,355.4,1.01975,3.2,1.4,11.4,0
2030,11.7,1.17,0.9,35.3,0.158,227.4,273.0,1.00462,3.16,1.2,10.9,0
2031,10.3,0.57,1.23,57.0,0.298,139.1,296.0,1.02832,2.91,0.68,10.5,0
2032,7.3,1.11,1.25,41.0,0.198,210.0,275.8,1.01261,3.28,1.57,11.8,0
2033,10.5,1.01,0.89,39.1,0.157,181.9,278.2,1.0122,2.89,1.51,12.0,0
2034,9.4,0.8,1.19,14.6,0.159,193.1,247.5,1.02743,3.22,1.76,12.0,0
2035,10.9,1.32,1.1,46.1,0.304,119.8,237.0,1.02057,3.18,0.89,12.3,0
2036,9.6,1.14,1.02,45.8,0.418,183.7,322.4,1.02505,2.95,1.74,12.9,0
2037,13.1,0.96,0.53,42.4,0.392,114.4,327.5,1.02415,3.05,1.35,13.0,0
2038,9.3,1.15,1.0,35.1,0.32,233.2,185.1,1.02505,2.98,1.65,11.8,0
2039,9.9,1.42,1.1,39.4,0.14,274.0,277.6,1.00708,3.34,1.75,10.7,0
2040,12.7,0.74,1.39,44.3,0.327,132.4,160.8,1.00139,3.18,1.33,10.8,0
2041,10.6,0.74,0.97,49.3,0.344,184.4,197.9,1.0241,3.23,0.93,12.2,0
2042,12.8,0.94,0.82,39.3,0.214,113.1,275.0,1.00641,3.04,1.59,12.1,0
2043,9.7,0.48,1.05,28.8,0.213,57.9,355.7,1.02254,3.5,1.76,12.6,0
2044,8.7,0.9,1.0,42.0,0.298,214.4,248.8,1.01055,3.5,1.51,11.4,0
2045,10.7,1.07,1.07,31.5,0.315,202.2,262.8,1.02079,3.24,0.58,11.4,0
2046,11.9,1.2,0.77,39.3,0.103,235.4,321.8,1.02316,3.0,1.06,10.9,0
2047,12.0,1.28,0.75,28.2,0.195,212.4,352.0,1.02723,3.0,1.31,12.6,0
2048,14.0,0.87,1.19,52.9,0.113,141.6,365.3,1.016,2.99,1.16,10.4,0
2049,10.2,0.81,0.48,44.6,0.092,197.3,224.9,1.00811,3.3,1.0,11.2,0
2050,12.5,0.99,0.91,38.0,0.194,195.2,339.5,0.99576,3.19,1.32,11.6,0
2051,10.6,0.92,0.87,57.2,0.34,86.2,282.8,1.02353,3.16,0.83,11.7,0
2052,10.5,0.82,0.97,38.2,0.465,198.9,133.7,1.02482,3.48,1.15,10.0,0
2053,13.0,0.74,0.71,48.1,0.403,218.1,306.7,1.00649,3.06,1.7,10.7,0
2054,10.3,0.9,0.94,42.4,0.368,189.3,214.5,1.01913,3.08,1.31,10.6,0
2055,13.1,1.23,0.98,48.1,0.2,212.6,215.7,1.01475,3.06,1.02,10.7,0
2056,11.2,0.87,0.89,35.5,0.226,236.3,271.9,1.02035,3.01,1.72,10.5,0
2057,13.1,1.18,1.05,32.5,0.247,264.0,334.8,1.01577,3.05,1.37,12.2,0
2058,11.4,0.94,0.88,39.8,0.175,172.8,255.4,1.01062,3.04,1.29,13.1,0
2059,11.2,1.16,0.86,40.7,0.346,164.1,261.6,1.01682,3.2,1.21,10.8,0
2060,8.6,1.01,1.07,34.8,0.109,141.2,193.2,1.01118,3.12,1.35,13.0,0
2061,11.5,0.91,1.35,34.2,0.261,116.4,328.9,1.02079,3.19,1.01,11.4,0
2062,11.2,1.14,1.26,45.9,0.302,201.8,290.7,1.01507,3.13,1.37,11.0,0
2063,8.8,0.99,0.89,43.5,0.252,186.2,306.8,1.01471,3.02,1.17,12.9,0
2064,9.9,0.94,0.99,47.0,0.149,242.3,177.5,1.0157,3.03,1.43,11.3,0
2065,13.5,0.72,1.12,49.8,0.31,165.6,94.7,1.02565,3.29,0.69,10.9,0
2066,11.0,0.76,0.88,38.0,0.446,159.9,140.5,1.02079,3.32,0.86,10.7,0
2067,8.0,0.84,1.05,52.0,0.17,193.2,336.2,1.01954,3.32,0.99,12.7,0
2068,11.0,1.2,1.0,29.6,0.072,148.6,146.1,1.0149,2.88,0.93,12.1,0
